nome_empresa,url_site,consulta,status_execucao,mensagem_pt,trabalha_com_madeira,trabalha_com_painel_pinus,flag_painel_pinus,confianca_madeira,confianca_painel_pinus,trecho_evidencia,resumo_materiais,qtde_itens_total,qtde_itens_madeira,qtde_itens_menciona_pinus,data_coleta,tentativas,nome_empresa_limpa,nm_mun,nm_uf,nu_latitude,nu_longitude
Fenap Poliuretano E Artefatos De Madeira Ltda - Colombo,https://fenap.com.br/,painel de madeira pinus,FOUND,"Empresa trabalha com madeira (Artefatos de Madeira), mas não há menção específica a painéis de pinus/pine.",yes,unknown,0,100,35,Fenap Poliuretano e Artefatos de Madeira Ltda,A empresa fabrica artefatos de madeira. Não há informações sobre o uso específico de painéis de pinus/pine.,6,6,0,2026-01-26T12:25:46.218011+00:00,Navigated to https://fenap.com.br/; Clicked on 'Produtos'; Clicked on 'Moveleiro' category; Extracted product list and company name from https://fenap.com.br/produtos,Fenap Poliuretano E Artefatos De Madeira Ltda,COLOMBO,Paraná,-25.29434029,-49.22743798
Linea Brasil - Arapongas,https://www.lineabrasil.com.br/,painel de madeira pinus,FOUND,Informações sobre produtos de madeira encontradas. Detalhes sobre painéis de madeira pinus são limitados.,yes,unknown,0,100,35,"Materials mentioned:
- TAUARI
- JEQUITIBA
- FREIJO
- CARVALHO
- CANELA
- JATOBA","A empresa trabalha com diversos tipos de madeira, incluindo Tauari, Jequitibá, Freijó, Carvalho, Canela e Jatobá. Não há menção explícita a painéis de madeira pinus.",80,80,0,2026-01-26T12:27:42.341014+00:00,Navigated to https://www.lineabrasil.com.br/; Clicked on 'Produtos'; Scrolled down the page; Attempted to extract product information (timed out); Read content from extracted_content_0.md,Linea Brasil,ARAPONGAS,Paraná,-23.41351653,-51.43827973
Incorplac Industria E Comercio De Moveis Ltda - Arapongas,https://www.incorplac.com.br/,painel de madeira pinus,FOUND,Encontrados produtos que indicam o uso de madeira. Não há menção explícita de painel de pinus.,yes,unknown,0,100,35,ROUPEIRO 6P 4G - 1790 - Description: Carvalho americano - grafite,"Os produtos listados não especificam os materiais, mas as descrições de cores como 'Carvalho americano' e 'Malbec' sugerem o uso de madeira.",14,14,0,2026-01-26T12:27:51.665650+00:00,Navigated to https://www.incorplac.com.br/; Clicked on PRODUTOS; Scrolled down the page; Extracted product list information,Incorplac Industria E Comercio De Moveis Ltda,ARAPONGAS,Paraná,-23.41351653,-51.43827973
Industria E Comercio De Pallets Alto Piquiri Ltda - Alto Piquiri,https://servale.com.br,painel de madeira pinus,FOUND,"A empresa trabalha com madeira (paletes), mas não foram encontrados produtos específicos de painel de madeira pinus.",yes,unknown,0,100,35,"Servale Pallets
PALLET PBR NOVO
PALLET ONE WAY
BIOMASSA
CHAPA DE FIBRA USADA
PALLET ENCOMENDADO
PALLET PBR USADO",CHAPA DE FIBRA USADA,7,4,0,2026-01-26T12:41:49.374963+00:00,Navigated to https://servale.com.br; Scrolled down the page.; Clicked on 'PRODUTOS'.; Extracted product information from https://servale.com.br/produtos,Industria E Comercio De Pallets Alto Piquiri Ltda,ALTO PIQUIRI,Paraná,-24.01901256,-53.44124908
New Ceval - Sabaudia,https://newceval.com.br/,painel de madeira pinus,FOUND,Informações sobre produtos extraídas e analisadas.,yes,unknown,0,100,35,"Mesa Serena 1,35m com Cadeiras Serena: Mesa em MDF e tampo de vidro 3mm, cadeiras com pés em eucalipto e estofamento em espuma D18.
Mesa Isis 1,00 com Cadeira Amanda: Mesa de MDF 15mm e cadeiras confortáveis com estrutura em MDF 25mm e espuma D18.
Mesa Isabela 1,35m com Tampo Giratório e Cadeiras Amanda: Mesa com tampo em MDF e vidro, cadeiras confortáveis e tampo giratório.
Mesa Isabela 1,00m com Cadeiras Carol: Mesa com estrutura robusta de MDF, cadeiras estofadas com espuma D18.
Mesa Bárbara 1,80m com Cadeiras Mariah: Mesa de MDF e vidro, cadeiras confortáveis com estrutura em eucalipto e estofado de espuma D18.
TAMPO GIRATÓRIO MELISSA: Estrutura em MDF e vidro.
Mesa Barbara 1,35m x 1,35m com Cadeiras Ana: Mesa com tampo de MDF e vidro, tampo giratório Melissa, cadeiras Amanda com estrutura resistente.
mesa aurea 1,60m com Cadeiras Aurea: Mesa em MDF e vidro, cadeiras confortáveis com estrutura MDF e estofado em espuma D18.
Mesa Anitta 1,60m com Cadeiras Ana: Mesa robusta em MDF e vidro, cadeiras com estofado em espuma D18 e estrutura de MDF.","The company uses MDF, glass, and some wood components like eucalipto. There is no explicit mention of pine wood panels (Pinus).",9,9,0,2026-01-26T12:42:01.262074+00:00,Navigated to https://newceval.com.br/; Clicked on 'Produtos' link.; Scrolled down the 'Produtos' page.; Extracted product information from the 'Produtos' page.,New Ceval,SABAUDIA,Paraná,-23.31839562,-51.55670202
Biopreserv - Reserva,https://biopreserv.ind.br/,painel de madeira pinus,FOUND,"Empresa trabalha com madeira, mas não há menção explícita a painéis de madeira pinus.",yes,unknown,0,95,35,"A Bio Preserv trata e esteriliza a madeira para garantir um rígido controle sanitário do começo ao fim do processo produtivo. É um trabalho baseado na sustentabilidade. Para cada segmento, oferecemos produtos específicos de variadas granulometrias, que são separados em diferentes proporções: Maravalha Premium Slim, Maravalha Premium Mid, Maravalha Premium Large.",Madeira,3,3,0,2026-01-26T12:25:26.284316+00:00,Navigated to https://biopreserv.ind.br/; Scrolled down to reveal content.; Extracted product details from 'Nossos Produtos' section.,Biopreserv,RESERVA,Paraná,-24.651648,-50.85059581
Divisystem Materiais E Servicos Ltda - Pinhais,https://www.divisystem.com.br/,painel de madeira pinus,FOUND,"Informações sobre materiais de acabamento encontradas. A empresa trabalha com padrões amadeirados e revestimentos acústicos, mas não há menção explícita a painéis de madeira pinus.",yes,unknown,0,90,35,Revestimento acústico com frisos uniformes ou criativos em padrões amadeirados. Piso alto padrão madeirado natural gran selection divisystem,"A empresa trabalha com uma variedade de materiais de acabamento para construção, incluindo revestimentos acústicos e pisos com padrões amadeirados.",2,2,0,2026-01-26T12:29:52.060660+00:00,"Navigated to https://www.divisystem.com.br/; Accepted cookies; Clicked on MATERIAIS; Scrolled down 1600px; Scrolled down 1600px; Extracted information about wood materials, pine wood panels, and any related products.",Divisystem Materiais E Servicos Ltda,PINHAIS,Paraná,-25.44219789,-49.19919742
Tom Da Cor - Pinhais,https://tomdacor.com.br/,painel de madeira pinus,FOUND,"A empresa vende painéis (MDF/MDP) e lâminados, indicando trabalho com madeira. Não há menção específica a painéis de madeira pinus.",yes,unknown,0,90,35,"Nossa empresa é especializada na venda de Ferragens, Equipamentos, Lâminados, Aramados, Painéis (MDF/MDP), Puxadores, e vários outros produtos necessários para a montagem de ambientes personalizados. Oferecemos as melhores marcas do mercado.","Painéis (MDF/MDP), Lâminados",2,2,0,2026-01-26T12:41:51.119796+00:00,Navigated to https://tomdacor.com.br/; Examined 'Empresa' section for wood and pine panel information.,Tom Da Cor,PINHAIS,Paraná,-25.44219789,-49.19919742
Theoto S A - Ponta Grossa,https://theoto.ind.br/,painel de madeira pinus,FOUND,Informações sobre produtos de madeira encontradas.,yes,unknown,0,85,35,"A Theoto é uma empresa com sede em Jundiaí, com mais de 80 anos de mercado, atuando no ramo de fabricação de artefatos de madeira.
Mexedor Long Drink Madeira – 50 Unid. – This product is made of 'madeira'.","A Theoto é uma fabricante de artefatos de madeira. Um produto, 'Mexedor Long Drink Madeira – 50 Unid.', é explicitamente feito de madeira. A menção de 'pinus' na página não está associada a nenhum produto específico.",16,1,0,2026-01-26T12:24:53.130454+00:00,Navigated to https://theoto.ind.br/; Accepted cookies and navigated to 'Produtos' section.; Extracted product information from https://theoto.ind.br/produtos/,Theoto S A,PONTA GROSSA,Paraná,-25.092547,-50.16144206
Arauco Do Brasil S.A. - Pien,https://www.arauco.cl/,Arauco Do Brasil S.A. - Pien,FOUND,"O site original (arauco.com.br) estava indisponível. Informações encontradas através da pesquisa no Bing. A empresa oferece painéis com acabamentos em madeira, mas não há menção explícita de pinus.",yes,unknown,0,85,35,"Company: Arauco Do Brasil S.A. Website: https://www.arauco.cl/ Products: ARAUCO Color panels. Material: These panels are provided with a painted face that can be combined with different wood finishes and solid colors. The term ""madeirados"" suggests wood-based products. Mentions of 'Pinus' or pine: Not explicitly mentioned in the provided text. However, the term ""madeirados"" implies wood, and pine is a common wood used in panel production.","ARAUCO Color panels with painted face, combined with wood finishes and solid colors. 'Madeirados' suggests wood-based products.",1,1,0,2026-01-26T12:50:35.444841+00:00,Navigation to https://www.arauco.com.br/ failed (site unavailable); Search 'Arauco Do Brasil S.A. - Pien' on DuckDuckGo failed (site error); Search 'Arauco Do Brasil S.A. - Pien' on Google failed (CAPTCHA); Bing search 'Arauco Do Brasil S.A. - Pien' returned results,Arauco Do Brasil S.A.,PIEN,Paraná,-26.09695638,-49.42824374
Scroccaro Madeiras Ltda - Fazenda Rio Grande,http://scroccarocavaco.com.br/,painel de madeira pinus,NOT_FOUND,Não foi possível encontrar informações sobre painéis de madeira de pinus no site.,yes,unknown,0,80,35,Os resíduos de madeira são uma alternativa de energia limpa para diminuir a emissão de CO2 pelas indústrias e preservar o meio ambiente. Todo resíduo de madeira tem um conteúdo energético alto e pode facilmente ser utilizado como combustível para a geração de energia.,O site aborda o processamento de resíduos de madeira e geração de energia a partir de madeira.,0,0,0,2026-01-26T12:16:01.949666+00:00,Navigated to http://scroccarocavaco.com.br/; Scrolled down; Scrolled down; Scrolled down,Scroccaro Madeiras Ltda,FAZENDA RIO GRANDE,Paraná,-25.64140022,-49.32329319
Benazzi Madeiras & Transportes,https://benazzimadeirastransp.com.br/,painel de madeira pinus,NOT_FOUND,Não foi possível encontrar informações específicas sobre painéis de madeira pinus. As buscas externas foram bloqueadas por CAPTCHA e a seção de produtos do site contém apenas imagens.,yes,unknown,0,80,35,"A Benazzi Madeiras é uma empresa tradicional no polo madeireiro de Jaguariaíva-PR, fundada em 13/09/1988. Sua principal atividade é o comércio atacadista de madeira, produtos derivados e transporte.",A empresa atua no comércio atacadista de madeira e produtos derivados.,0,0,0,2026-01-26T12:20:18.545670+00:00,Navigated to https://benazzimadeirastransp.com.br/; Clicked on 'Produtos'; Extracted content from 'Produtos' page (images only); Extracted content from 'Sobre Nós' section; Searched Google for 'Benazzi Madeiras painel de madeira pinus' (blocked by CAPTCHA); Attempted to interact with CAPTCHA (failed); Navigated back to company website; Scrolled down product page (no new info); Searched Google for 'Benazzi Madeiras Jaguariaíva' (blocked by CAPTCHA); Attempted to interact with CAPTCHA again (failed); Navigated back to company website,Benazzi Madeiras & Transportes,,,,
Leroy Merlin - Londrina,https://www.leroymerlin.com.br/mais/londrina-p.html,painel de madeira pinus,NOT_FOUND,"Não foi possível encontrar informações detalhadas sobre produtos específicos de painéis de madeira pinus. A empresa possui um departamento de 'Madeiras', indicando que trabalha com madeira em geral, mas não há menção específica a painéis de pinus ou detalhes de materiais nos resultados da lista.",yes,unknown,0,80,35,"The provided webpage content does not contain specific product listings with details on materials, wood, or pine. Therefore, the 'items' array is empty. The webpage mentions ""Madeiras"" as a department, and the company is described as a ""multiespecialista do lar, especializada em Construção, Acabamento, Decoração, Jardinagem e Bricolagem"". This suggests the company works with a variety of materials, including wood, but there is no specific mention of ""pine panels"" or a general focus on pine. Therefore, the information about specific products and their wood/pine content is unavailable.","A empresa possui um departamento de 'Madeiras', indicando que trabalha com madeira em geral. No entanto, informações específicas sobre painéis de pinus ou detalhes de materiais não foram encontradas nos resultados da lista.",0,0,0,2026-01-26T12:23:40.969073+00:00,Navigated to https://www.leroymerlin.com.br/mais/londrina-p.html; Searched for 'painel de madeira pinus'; Extracted information from search results page,Leroy Merlin,LONDRINA,Paraná,-23.312156,-51.16277342
Tcf Pellets - Pien,https://www.tcfpellets.com.br/,painel de madeira pinus,FOUND,"Empresa trabalha com madeira, mas não há informações sobre painéis de madeira pinus.",yes,unknown,0,80,35,"A TCF Pellets produz pellets de madeira, um biocombustível sólido renovável a base de madeira desidratada e compactada em forma de um granulado cilíndrico.",Madeira,0,0,0,2026-01-26T12:30:57.984029+00:00,Navigated to https://www.tcfpellets.com.br/; Clicked on 'Produtos'; Clicked on 'Pellets de Madeira'; Extracted content from the 'Pellets de Madeira' page.,Tcf Pellets,PIEN,Paraná,-26.09695638,-49.42824374
Roggen Revestimentos Nobres Ltda - Curitiba,https://studioroggen.com.br/,painel de madeira pinus,FOUND,"A empresa trabalha com madeira, mas não há menção específica a painéis de madeira pinus.",yes,unknown,0,80,35,"Roggen é madeira, mas é também calor, textura e permanência. É a escolha de quem reconhece o valor do que é raro. Descubra uma nova forma de dar vida aos seus projetos.

COMPROMISSO
SUSTENTÁVEL
A sustentabilidade é parte da nossa essência.
Utilizamos apenas madeira de manejo florestal responsável, com rastreabilidade completa e respeito ao meio ambiente.","Madeira, Madeira natural, Madeiras nobres, Madeira de manejo florestal responsável, Verniz.",0,0,0,2026-01-26T12:32:57.294119+00:00,Navigated to https://studioroggen.com.br/; Clicked 'CONHEÇA NOSSO PORTFÓLIO'; Scrolled down 4 times; Extracted page content,Roggen Revestimentos Nobres Ltda,CURITIBA,Paraná,-25.432956,-49.27184789
Abraplac Brasil - Santa Tereza do Oeste,https://abraplac.com.br/,painel de madeira pinus,FOUND,A empresa trabalha com chapas de madeira calibradas e compensados. Não há menção explícita a painéis de madeira pinus.,yes,unknown,0,80,35,"A ABRAPLAC tem mais de 30 anos de experiência no mercado, focando em oferecer materiais de alta qualidade, com produção eficiente e entrega ágil. Seus diferenciais estão na qualidade do produto e no cumprimento de prazos, garantindo um serviço confiável. Com uma grande variedade de opções de acabamento, cor e textura, os compensados da ABRAPLAC se destacam pela durabilidade e atenção aos detalhes, proporcionando excelência e completando qualquer ambiente.","Chapas de madeira calibradas, Compensados",0,0,0,2026-01-26T12:40:27.284020+00:00,"Navigated to https://abraplac.com.br/; Clicked 'Saiba mais' under 'CHAPAS RIGOROSAMENTE CALIBRADAS'; Attempted to click 'Confira nosso Catálogo' (failed, element not available); Attempted to click 'Confira nosso Catálogo' again (failed, 404 error); Searched for 'painel de madeira pinus' (resulted in 404 error); Navigated back to 'NOSSO SERVIÇOS' page; Scrolled down the page; Extracted information from 'SOBRE NÓS' section",Abraplac Brasil,SANTA TEREZA DO OESTE,Paraná,-25.0587219,-53.62723573
Utili Planejados - Apucarana,https://utiliplanejados.com.br/,painel de madeira pinus,NOT_FOUND,"Empresa trabalha com marcenaria e materiais conceituados, mas não há menção específica a painéis de madeira pinus.",yes,unknown,0,80,35,"Temos orgulho de trabalhar com materiais mais conceituados do mercado, garantindo a excelência em cada projeto de marcenaria entregue.",Trabalham com materiais conceituados do mercado e marcenaria.,0,0,0,2026-01-26T12:40:29.487974+00:00,Navigated to https://utiliplanejados.com.br/; Scrolled down 1600px; Extracted page content,Utili Planejados,APUCARANA,Paraná,-23.55159299,-51.45998514
Salmar Industria E Comercio De Moveis Ltda - Realeza,https://gruPOSALMAR.COM.BR/,painel de madeira pinus,NOT_FOUND,Informações sobre painéis de madeira pinus não encontradas no site.,yes,unknown,0,80,35,"SALMAR MÓVEIS, uma empresa familiar fundada em 1985 na cidade de Realeza – PR em um pequeno espaço de 150 mt2 e algumas máquinas artesanais, com produção de móveis sob medida e aberturas em madeira para atender o mercado local, um ramo de atividade que vem de pai para filho.","A empresa produz móveis e aberturas em madeira, incluindo mesas, cadeiras e complementos. Não há menção específica a painéis de madeira pinus.",0,0,0,2026-01-26T12:42:59.453497+00:00,Navigated to https://gruposalmar.com.br/; Accepted cookies; Scrolled down; Extracted page content,Salmar Industria E Comercio De Moveis Ltda,REALEZA,Paraná,-25.76257995,-53.53257436
Arauco Industria De Paineis S.A. - Foz do Iguacu,https://arauco.com.br/,painel de madeira pinus,FOUND,"Informações sobre painéis de madeira foram encontradas, mas não há menção explícita sobre painéis de madeira de pinus.",yes,unknown,0,80,35,"The webpage indicates that Arauco offers 'Painéis Revestidos' (Coated Panels) and 'Painéis Sem Revestimento' (Uncoated Panels), which are wood-based panel products.",Informações sobre os materiais específicos para Arauco MDF e Arauco MDP não estão disponíveis no texto fornecido.,0,0,0,2026-01-26T12:52:06.643985+00:00,Navigated to https://arauco.com.br/; Clicked 'Produtos'; Extracted information from product page about MDF and MDP panels.,Arauco Industria De Paineis S.A.,FOZ DO IGUACU,Paraná,-25.54249328,-54.58710249
Compenfort - Londrina,https://compenfort.com.br/,painel de madeira pinus,ERROR,Falha em determinar se a empresa trabalha com painéis de madeira de pinus devido à terminação do agente.,unknown,unknown,0,30,35,"A Compenfort trabalha com a linha completa de madeirados Arauco, Duratex e Guararapes à pronta-entrega. Ao todo, são mais de 250 cores de MDF que garantem um projeto exclusivo e surpreendente. Temos todos os padrões nas espessuras 06mm, 15mm e 18mm. Além da linha de madeirados, trabalhamos também com MDF branco, nas espessuras 03mm, 4,5mm, 06mm, 09mm, 15mm, 18mm e 25mm, e MDF cru nas espessuras 2,5mm, 06mm, 09mm, 12mm, 15mm, 18mm, 20mm e 25mm.","A Compenfort trabalha com diversos tipos de painéis de MDF, incluindo madeirados, MDF branco e cru. Também oferece fitas de borda e painéis ripados. Há menção a marcas como Arauco, Duratex e Guararapes. A extração direta de conteúdo da página 'Painéis & Revestimentos' falhou. Um catálogo da Arauco foi baixado, mas não foi analisado.",0,0,0,2026-01-26T12:18:44.026896+00:00,Navigated to Compenfort website.; Navigated to 'Painéis & Revestimentos' page.; Scrolled down the page.; Clicked on 'CATÁLOGOS'.; Clicked on 'Arauco' catalog option (download initiated).,Compenfort,LONDRINA,Paraná,-23.312156,-51.16277342
Moveis Belo - Arapongas,https://www.moveisbelo.com.br,painel de madeira pinus,NOT_FOUND,Não foi possível determinar se a empresa trabalha com madeira ou painéis de madeira de pinus. As listagens de produtos extraídas não especificam materiais ou mencionam madeira ou pinus.,unknown,unknown,0,30,35,Nenhuma evidência encontrada sobre o uso de madeira ou painéis de pinus nos produtos listados.,Materiais não especificados nas listagens de produtos.,0,0,0,2026-01-26T12:22:16.424327+00:00,Navigated to https://www.moveisbelo.com.br; Explored 'Catálogos' and 'Coleções' (including 'Casa' and 'Escritório'); Attempted DuckDuckGo search for 'Moveis Belo products' (blocked by CAPTCHA); Extracted product information from 'Casa' collection page (no material details found),Moveis Belo,ARAPONGAS,Paraná,-23.41351653,-51.43827973
Zamptec Servicos S.A. - Curitiba,https://zamptec.com.br/,painel de madeira pinus,NOT_FOUND,Não foi encontrada informação sobre o trabalho com madeira ou painéis de pinus após explorar as seções 'Nossos Serviços' e 'Porque Zamptec' e rolar a página extensivamente.,unknown,unknown,0,30,35,Evidência textual: menciona Pinus/pine em texto institucional/catálogo.,,0,0,0,2026-01-26T12:23:43.306563+00:00,Navigated to https://zamptec.com.br/; Clicked on 'Nossos Serviços'; Scrolled down multiple times on 'Nossos Serviços' page; Clicked on 'Porque Zamptec'; Scrolled down multiple times on 'Porque Zamptec' page,Zamptec Servicos S.A.,CURITIBA,Paraná,-25.432956,-49.27184789
Hellen Estofados E Colchoes - Umuarama,https://www.hellen.com.br,"Extract all visible product names, categories, and any mentioned materials. For each product, determine if it is wood-related and if it mentions pine (Pinus).",NOT_FOUND,Nenhum produto que mencione madeira ou painel de pinus foi encontrado. Os materiais mencionados são 'Boucle' e 'PU'.,unknown,unknown,0,30,35,"O arquivo extraído `extracted_content_0.md` contém uma lista de produtos. Para os produtos listados como 'Sofá Retrátil e Reclinável Splendore' e 'Sofá Retrátil e Reclinável Mustang', o material mencionado é 'Boucle'. Para o produto 'Sofá Retrátil e Reclinável Manchester', o material é 'Boucle Verssailles Liso'. Para o produto 'Poltrona do Papai - Gavea', o material é 'PU'. Nenhum produto menciona explicitamente madeira ou painel de pinus.","Boucle, PU",0,0,0,2026-01-26T12:27:14.405064+00:00,Navigated to https://www.hellen.com.br/produtos; Extracted product data from the page; Read extracted_content_0.md,Hellen Estofados E Colchoes,UMUARAMA,Paraná,-23.76395,-53.3084598
Mopar Industria E Comercio De Moveis Ltda - Colombo,https://www.moparmoveis.com.br,painel de madeira pinus,NOT_FOUND,Não foi possível encontrar informações sobre o uso de madeira ou painéis de pinus no site da empresa através das categorias de produtos exploradas.,unknown,unknown,0,30,35,Evidência textual: menciona Pinus/pine em texto institucional/catálogo.,Nenhuma informação sobre materiais foi encontrada.,0,0,0,2026-01-26T12:28:48.526321+00:00,https://www.moparmoveis.com.br/empresa; https://www.moparmoveis.com.br/modulados; https://www.moparmoveis.com.br/roupieiros; https://www.moparmoveis.com.br/complementos,Mopar Industria E Comercio De Moveis Ltda,COLOMBO,Paraná,-25.29434029,-49.22743798
Pluma Decor - Douradina,https://www.plumadecor.com.br/,painel de madeira pinus,NOT_FOUND,"Não foi possível encontrar informações sobre o uso de madeira ou painéis de madeira de pinus no site da empresa após várias tentativas de navegação, pesquisa e exploração de categorias e links.",unknown,unknown,0,30,35,Nenhuma evidência encontrada sobre o uso de madeira ou painéis de pinus.,Não foi possível determinar os materiais utilizados pela empresa.,0,0,0,2026-01-26T12:32:55.106335+00:00,Navigated to https://www.plumadecor.com.br/; Clicked 'DOWNLOAD' for 'Catálogo 2026'; Scrolled down 1600px; Searched Duckduckgo for 'madeira' (blocked by captcha); Attempted to solve captcha multiple times; Navigated back to https://www.plumadecor.com.br/; Scrolled down 1600px; Scrolled down 1600px; Scrolled down 1600px; Scrolled down 1600px; Scrolled down 1600px; Clicked 'Ver Mais' under 'Estofados'; Scrolled down 1600px; Scrolled down 1.5 pages; Scrolled down 1.5 pages; Scrolled down 1.5 pages; Clicked 'Nossa história' in footer; Navigated back,Pluma Decor,DOURADINA,Paraná,-23.38190722,-53.29644866
Industria De Moveis Simosul Ltda - Ampere,https://www.simonetto.com.br/,painel de madeira pinus,ERROR,"Não foi possível completar a tarefa devido a um CAPTCHA irresolúvel na página de resultados de pesquisa do DuckDuckGo. As seções exploradas anteriormente (GOURMET, SALAS, DORMITÓRIOS) não continham informações sobre painéis de madeira de pinus.",unknown,unknown,0,30,35,O acesso às informações sobre os projetos de escritórios foi bloqueado por um CAPTCHA na página de resultados de pesquisa do DuckDuckGo.,Não foi possível determinar os materiais utilizados pela empresa devido a um CAPTCHA irresolúvel.,0,0,0,2026-01-26T12:33:12.244807+00:00,"Navigated to https://www.simonetto.com.br/; Accepted cookie consent; Explored 'GOURMET' projects, scrolled extensively, no wood/pine panel info found.; Navigated back to projects page.; Explored 'SALAS' projects, scrolled extensively, no wood/pine panel info found.; Attempted to navigate to 'DORMITÓRIOS', mistakenly clicked 'REVENDAS'.; Navigated back to projects page.; Successfully navigated to 'DORMITÓRIOS' projects page.; Extracted content from 'DORMITÓRIOS' page, no wood/pine panel info found.; Attempted to navigate to 'ESCRITÓRIOS', clicked 'BLOG' instead.; Navigated back to projects page.; Repeatedly attempted to navigate to 'ESCRITÓRIOS', element not found.; Searched DuckDuckGo for 'ESCRITÓRIOS Simonetto website'.; Encountered CAPTCHA on DuckDuckGo search results page.; Failed to interact with CAPTCHA elements multiple times.",Industria De Moveis Simosul Ltda,AMPERE,Paraná,-25.91706847,-53.47325674
Rede Constru & Cia.,https://www.redeconstruecia.com.br/,painel de madeira pinus,NOT_FOUND,"Não foi possível encontrar informações sobre as lojas associadas ou seus produtos, incluindo madeira e painéis de pinus. A página de lojas associadas retornou conteúdo vazio.",unknown,unknown,0,30,35,Evidência textual: menciona Pinus/pine em texto institucional/catálogo.,Nenhuma informação sobre materiais foi encontrada.,0,0,0,2026-01-26T12:34:34.704890+00:00,Navigated to https://www.redeconstruecia.com.br/; Clicked 'OFERTAS' (redirected to partnership form); Navigated back; Clicked a generic link; Scrolled down 1600px; Scrolled down 0.5 pages; Scrolled down 0.5 pages; Clicked 'LOJAS ASSOCIADAS'; Clicked 'A REDE'; Attempted to click 'COMO FUNCIONA' (element not found); Scrolled down 0.5 pages; Scrolled down 0.5 pages; Selected city 'Maringá - PR'; Extracted store information (empty result),Rede Constru & Cia.,,,,
Copagril - Toledo,https://www.copagril.com.br/,painel de madeira pinus,NOT_FOUND,"Não foi possível encontrar informações sobre painéis de madeira pinus após explorar diversas seções do site, incluindo 'Agronegócios' e 'Lojas Agropecuárias' com suas subcategorias. A busca direta também não retornou resultados relevantes.",unknown,unknown,0,30,35,Nenhuma evidência encontrada.,"Informações sobre materiais, incluindo madeira ou painéis de pinus, não foram encontradas no site.",0,0,0,2026-01-26T12:34:50.500893+00:00,"Initial search for 'painel de madeira pinus'; Explored 'Agronegócios' section; Explored 'Lojas Agropecuárias' section tabs: Agropecuária, Supermercados, Combustíveis, Máquinas | Equipamentos, Energia Solar",Copagril,TOLEDO,Minas Gerais,-22.74339481,-46.37897266
Copagril - Toledo,https://www.copagril.com.br/,painel de madeira pinus,NOT_FOUND,"Não foi possível encontrar informações sobre painéis de madeira pinus após explorar diversas seções do site, incluindo 'Agronegócios' e 'Lojas Agropecuárias' com suas subcategorias. A busca direta também não retornou resultados relevantes.",unknown,unknown,0,30,35,Nenhuma evidência encontrada.,"Informações sobre materiais, incluindo madeira ou painéis de pinus, não foram encontradas no site.",0,0,0,2026-01-26T12:34:50.500893+00:00,"Initial search for 'painel de madeira pinus'; Explored 'Agronegócios' section; Explored 'Lojas Agropecuárias' section tabs: Agropecuária, Supermercados, Combustíveis, Máquinas | Equipamentos, Energia Solar",Copagril,TOLEDO,Paraná,-24.732077,-53.74141149
Brasmacol - Chopinzinho,https://brasmacol.com.br/,painel de madeira pinus,FOUND,Informações sobre madeira e painéis de pinus não foram encontradas na página de portas.,unknown,unknown,0,30,35,"- **Portas**: Qualidade, resistência e o melhor acabamento. Fabricadas para todos os tipos de móveis e ambientes, com diversas possibilidades de composição: miolos em vidro, espelho, telas ou em MDF revestido com e sem travessas.
- **Portas com Vidro ou Espelho**: Montadas com requadro em molduras com corte 45 graus, que envolvem o vidro ou espelho.
- **Portas 5 Peças**: Compostas por 5 peças em MDF revestido, sendo quatro molduras para o requadro e o miolo.
- **Portas Shaker**: Portas com montagem 90 graus, com ou sem travessas. O estilo Shaker é conhecido por perfeição, pureza, ordem, simplicidade, durabilidade, funcionalidade e utilidade, resultando em mobiliário com estética minimalista.
- **Portas Especiais**: Ideias que extrapolam as versões de portas comuns, a serem discutidas com o time comercial.

No mention of wood or pine is available on the page.","A página de portas menciona o uso de MDF revestido e opções com miolos em vidro, espelho ou telas. Não há menção explícita a madeira ou painéis de pinus.",0,0,0,2026-01-26T12:36:14.364776+00:00,Navigated to https://brasmacol.com.br/; Accepted cookies; Clicked on 'Produtos'; Clicked on 'Portas'; Scrolled down the page; Extracted page content,Brasmacol,CHOPINZINHO,Paraná,-25.85468385,-52.53396021
Luciane Industria Moveleira Ltda - Colombo,https://www.lucianecozinhas.com.br,painel de madeira pinus,FOUND,"Informações sobre painéis de madeira e pinus não foram explicitamente encontradas nas listagens de produtos. O status é FOUND pois o site foi acessado e produtos listados, mas os detalhes específicos solicitados não estão presentes.",unknown,unknown,0,30,35,Evidência textual: menciona Pinus/pine em texto institucional/catálogo.,Não foram encontradas informações explícitas sobre o uso de madeira ou painéis de madeira de pinus nos produtos listados.,20,0,0,2026-01-26T12:36:46.711331+00:00,Navigated to https://www.lucianecozinhas.com.br/produtos.html; Scrolled down 3 times; Extracted page content,Luciane Industria Moveleira Ltda,COLOMBO,Paraná,-25.29434029,-49.22743798
